PLAYER,2024/25,2023/24,2022/23,2021/22,2020/21,2019/20,2018/19,2017/18,2016/17,2015/16,2014/15,2013/14,2012/13,2011/12,2010/11,2009/10,2008/09,2007/08,2006/07,2005/06,2004/05,2003/04,2002/03,2001/02,2000/01,1999/00,1998/99,1997/98,1996/97,1995/96,1994/95,1993/94,1992/93,1991/92,1990/91
Stephen Curry,"$55,761,217","$51,915,615","$48,070,014","$45,780,966","$43,006,362","$40,231,758","$37,457,154","$34,682,550","$12,112,359","$11,370,786","$10,629,213","$9,887,642","$3,958,742","$3,117,120","$2,913,840","$2,710,560",,,,,,,,,,,,,,,,,,,
Nikola Jokic,"$51,415,938","$47,607,350","$33,047,803","$31,044,906","$29,542,010","$27,504,630","$25,467,250","$1,471,382","$1,358,500","$1,300,000",,,,,,,,,,,,,,,,,,,,,,,,,
Joel Embiid,"$51,415,938","$47,607,350","$33,616,770","$31,579,390","$29,542,010","$27,504,630","$25,467,250","$6,100,266","$4,826,160","$4,626,960","$4,427,640",,,,,,,,,,,,,,,,,,,,,,,,
Kevin Durant,"$51,179,020","$47,649,433","$44,119,845","$42,018,900","$40,108,950","$37,199,000","$30,000,000","$25,000,000","$26,540,100","$21,971,850","$19,997,513","$18,773,176","$17,548,838","$15,506,632","$6,053,663","$4,796,880","$4,484,040","$4,171,200",,,,,,,,,,,,,,,,,
Bradley Beal,"$50,203,930","$46,741,590","$43,279,250","$33,724,200","$28,751,774","$27,093,018","$25,434,262","$23,775,506","$22,116,750","$5,694,673","$4,505,280","$4,319,280","$4,133,280",,,,,,,,,,,,,,,,,,,,,,
Jaylen Brown,"$49,205,800","$31,830,357","$29,776,785","$26,758,928","$25,035,118","$6,534,829","$5,169,960","$4,956,480","$4,743,000",,,,,,,,,,,,,,,,,,,,,,,,,,
Karl-Anthony Towns,"$49,205,800","$36,016,200","$33,833,400","$31,650,600","$29,467,800","$27,285,000","$7,839,435","$6,216,840","$5,960,160","$5,703,600",,,,,,,,,,,,,,,,,,,,,,,,,
Devin Booker,"$49,205,800","$36,016,200","$33,833,400","$31,650,600","$29,467,800","$27,285,000","$3,314,365","$2,319,360","$2,223,600","$2,055,840",,,,,,,,,,,,,,,,,,,,,,,,,
Paul George,"$49,205,800","$45,640,084","$42,492,492","$39,344,970","$35,450,412","$33,005,556","$30,560,700","$19,300,000","$18,100,000","$16,900,000","$15,800,000","$3,282,003","$2,574,120","$2,406,240","$2,238,360",,,,,,,,,,,,,,,,,,,,
Kawhi Leonard,"$49,205,800","$45,640,084","$42,492,492","$39,344,900","$34,379,100","$32,742,000","$23,114,066","$18,868,625","$17,638,063","$16,407,500","$3,053,368","$1,991,760","$1,861,920","$1,731,960",,,,,,,,,,,,,,,,,,,,,
Jimmy Butler,"$48,798,677","$45,183,960","$37,653,300","$36,016,200","$34,379,100","$32,742,000","$19,841,627","$18,696,918","$17,552,209","$16,407,500","$2,119,214","$1,174,080","$1,097,520","$1,020,960",,,,,,,,,,,,,,,,,,,,,
Damian Lillard,"$48,787,676","$45,640,084","$42,492,492","$39,344,900","$31,626,953","$29,802,321","$27,977,689","$26,153,057","$24,328,425","$4,236,286","$3,340,920","$3,202,920","$3,065,040",,,,,,,,,,,,,,,,,,,,,,
Giannis Antetokounmpo,"$48,787,676","$45,640,084","$42,492,492","$39,344,900","$27,528,088","$25,842,697","$24,157,304","$22,471,911","$2,995,420","$1,953,960","$1,873,200","$1,792,560",,,,,,,,,,,,,,,,,,,,,,,
LeBron James,"$48,728,845","$47,607,350","$44,474,988","$41,180,544","$39,219,566","$37,436,858","$35,654,150","$33,285,709","$30,963,450","$22,970,500","$20,644,400","$19,067,500","$17,545,000","$16,022,500","$14,500,000","$15,779,912","$14,410,581","$13,041,250","$5,828,090","$4,621,800","$4,320,360","$4,018,920",,,,,,,,,,,,,
Zach LaVine,"$44,531,940","$40,064,220","$37,096,500","$19,500,000","$19,500,000","$19,500,000","$19,500,000","$3,202,217","$2,240,880","$2,148,360","$2,055,840",,,,,,,,,,,,,,,,,,,,,,,,
Rudy Gobert,"$43,827,586","$41,000,000","$38,172,414","$35,344,828","$27,525,281","$25,258,427","$23,491,573","$21,224,719","$2,121,287","$1,175,880","$1,127,400","$1,078,800",,,,,,,,,,,,,,,,,,,,,,,
Anthony Davis,"$43,219,440","$40,600,080","$37,980,720","$35,361,360","$32,742,000","$27,093,019","$25,434,263","$23,775,506","$22,116,750","$7,070,730","$5,607,240","$5,375,760","$5,144,280",,,,,,,,,,,,,,,,,,,,,,
Trae Young,"$43,031,940","$40,064,220","$37,096,500","$8,326,471","$6,571,800","$6,273,000","$5,363,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka Doncic,"$43,031,940","$40,064,220","$37,096,500","$10,174,391","$8,049,360","$7,683,360","$6,569,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred VanVleet,"$42,846,615","$40,806,300","$21,250,000","$19,675,926","$21,250,000","$9,346,153","$8,653,847","$1,312,611","$543,471",,,,,,,,,,,,,,,,,,,,,,,,,,
Lauri Markkanen,"$42,176,400","$17,259,999","$16,475,454","$15,690,909","$6,731,508","$5,300,400","$4,536,120","$3,821,640",,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrese Haliburton,"$42,176,400","$5,808,435","$4,215,120","$4,023,600","$3,831,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pascal Siakam,"$42,176,400","$37,893,408","$35,448,672","$33,003,936","$30,559,200","$2,351,838","$1,544,951","$1,312,611","$1,196,040",,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Edwards,"$42,176,400","$13,534,817","$10,733,400","$10,245,480","$9,757,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrie Irving,"$41,000,000","$38,037,037","$38,917,057","$35,328,700","$33,722,850","$31,742,000","$20,099,189","$18,868,626","$17,638,063","$16,407,500","$7,459,924","$5,915,880","$5,530,080","$5,144,280",,,,,,,,,,,,,,,,,,,,,
Domantas Sabonis,"$40,500,000","$29,300,000","$21,100,000","$18,500,000","$19,800,000","$3,529,554","$2,659,800","$2,550,000","$2,440,200",,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Simmons,"$40,338,144","$37,893,408","$35,448,672","$33,003,936","$30,559,200","$8,113,929","$6,434,520","$6,168,840","$5,903,160",,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Garland,"$36,725,670","$34,005,250","$8,920,794","$7,040,880","$6,720,720","$6,400,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja Morant,"$36,725,670","$34,005,250","$12,119,440","$9,603,360","$9,166,800","$8,730,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zion Williamson,"$36,725,670","$34,005,250","$13,534,817","$10,733,400","$10,245,480","$9,757,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG Anunoby,"$36,637,932","$18,642,857","$17,357,143","$16,071,429","$3,872,215","$2,281,800","$1,952,760","$1,645,200",,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Murray,"$36,016,200","$33,833,400","$31,650,600","$29,467,800","$27,285,000","$4,444,746","$3,499,800","$3,355,320","$3,210,840",,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Ingram,"$36,016,200","$33,833,400","$31,650,600","$29,467,800","$27,285,000","$7,265,485","$5,757,120","$5,519,400","$5,281,680",,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Porter,"$35,859,950","$33,386,850","$30,913,750","$5,258,735","$3,550,800","$3,389,400","$2,894,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shai Gilgeous-Alexander,"$35,859,950","$33,386,850","$30,913,750","$5,495,532","$4,141,320","$3,952,920","$3,375,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donovan Mitchell,"$35,410,310","$33,162,030","$30,913,750","$28,103,500","$5,195,501","$3,635,760","$3,111,480","$2,621,280",,,,,,,,,,,,,,,,,,,,,,,,,,,
LaMelo Ball,"$35,147,000","$10,900,635","$8,623,920","$8,231,760","$7,839,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrese Maxey,"$35,147,000","$4,343,920","$2,726,880","$2,602,920","$2,478,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayson Tatum,"$34,848,340","$32,600,060","$30,351,780","$28,103,500","$9,897,120","$7,830,000","$6,700,800","$5,645,400",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bam Adebayo,"$34,848,340","$32,600,060","$30,351,780","$28,103,500","$5,115,492","$3,454,080","$2,955,840","$2,490,360",,,,,,,,,,,,,,,,,,,,,,,,,,,
De'Aaron Fox,"$34,848,340","$32,600,060","$30,351,780","$28,103,500","$8,099,627","$6,392,760","$5,470,920","$4,609,200",,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmond Bane,"$34,005,250","$3,845,083","$2,130,240","$2,033,160","$1,936,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deandre Ayton,"$34,005,126","$32,459,438","$30,913,750","$12,632,950","$10,018,200","$9,562,920","$8,175,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Harden,"$33,653,846","$35,680,595","$33,000,000","$44,310,840","$41,254,920","$38,199,000","$30,570,000","$28,299,399","$26,540,100","$15,719,062","$14,693,906","$13,668,750","$5,820,416","$4,604,760","$4,304,520","$4,054,160",,,,,,,,,,,,,,,,,,,
CJ McCollum,"$33,333,333","$35,802,469","$33,333,333","$30,864,198","$29,354,152","$27,556,959","$25,759,766","$23,962,573","$3,219,579","$2,525,160","$2,421,000","$2,316,720",,,,,,,,,,,,,,,,,,,,,,,
Immanuel Quickley,"$32,500,000","$4,171,548","$2,316,240","$2,210,640","$2,105,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Randle,"$31,695,840","$26,943,840","$23,760,000","$19,800,000","$19,845,000","$18,000,000","$8,641,000","$4,149,242","$3,267,120","$3,132,240","$2,997,360",,,,,,,,,,,,,,,,,,,,,,,,
Khris Middleton,"$31,000,000","$29,320,988","$37,984,276","$35,500,000","$33,051,724","$30,603,448","$13,000,000","$14,100,000","$15,200,000","$14,700,000","$915,243","$788,872","$473,604",,,,,,,,,,,,,,,,,,,,,,
Jrue Holiday,"$30,000,000","$37,620,347","$34,319,520","$31,171,333","$27,026,011","$26,131,111","$26,641,111","$25,686,667","$11,000,000","$11,000,000","$11,000,000","$11,000,000","$2,674,851","$1,741,440","$1,627,920","$1,514,280",,,,,,,,,,,,,,,,,,,
Isaiah Hartenstein,"$30,000,000","$9,245,121","$8,854,879","$1,729,217","$1,620,564",,"$838,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerami Grant,"$29,793,104","$27,586,207","$20,955,000","$20,002,500","$19,050,000","$9,346,153","$8,333,333","$1,524,305","$980,431","$845,059","$884,879",,,,,,,,,,,,,,,,,,,,,,,,
Jordan Poole,"$29,651,786","$27,955,357","$3,901,399","$2,161,440","$2,063,280","$1,964,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dejounte Murray,"$29,517,134","$18,214,000","$17,071,120","$15,428,880","$14,286,000","$2,321,735","$1,544,951","$1,312,611","$1,180,080",,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Vassell,"$29,347,826","$5,887,899","$4,437,000","$4,235,160","$4,033,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristaps Porzingis,"$29,268,293","$36,016,200","$33,833,400","$31,650,600","$29,467,800","$27,285,000","$5,697,054","$4,503,600","$4,317,720","$4,131,720",,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Herro,"$29,000,000","$27,000,000","$5,722,116","$4,004,280","$3,822,240","$3,640,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Claxton,"$27,556,817","$9,625,000","$9,350,000","$1,782,621","$1,517,981","$898,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miles Bridges,"$27,173,913","$7,921,300",,"$5,421,493","$3,934,320","$3,755,400","$3,206,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Collins,"$26,580,000","$25,340,000","$23,500,000","$23,000,000","$4,137,302","$2,686,560","$2,299,080","$1,936,920",,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,"$26,276,786","$24,330,357","$33,616,770","$31,579,390","$29,542,010","$27,504,630","$25,467,250","$7,574,322","$6,006,600","$5,758,680","$5,510,640",,,,,,,,,,,,,,,,,,,,,,,,
Anfernee Simons,"$25,892,857","$24,107,143","$22,321,429","$3,938,818","$2,252,040","$2,149,560","$1,837,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Barrett,"$25,794,643","$23,883,929","$10,900,634","$8,623,920","$8,231,760","$7,839,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Harris,"$25,365,854","$39,270,150","$37,633,050","$35,995,950","$34,358,850","$32,742,000","$14,800,000","$16,000,000","$17,200,000","$16,000,000","$2,511,432","$1,630,800","$1,524,480","$1,418,160",,,,,,,,,,,,,,,,,,,,,
Jaren Jackson Jr,"$25,257,798","$27,102,202","$28,946,605","$9,180,560","$7,257,360","$6,927,480","$5,922,720",,,,,,,,,,,,,,,,,"$3,020,834","$1,750,000","$2,483,333",,"$272,250","$247,500",,"$140,350",,"$140,000",,
Jonathan Isaac,"$25,000,000","$17,400,000","$17,400,000","$17,400,000","$7,362,565","$5,806,440","$4,969,080","$4,186,320",,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Brunson,"$24,960,001","$26,346,666","$27,733,332","$1,802,057","$1,663,861","$1,416,852","$1,230,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry Rozier,"$24,924,126","$23,205,221","$21,486,316","$17,905,263","$18,900,000","$19,894,737","$3,050,389","$1,988,520","$1,906,440","$1,824,360",,,,,,,,,,,,,,,,,,,,,,,,,
Draymond Green,"$24,107,143","$22,321,429","$25,806,468","$24,026,712","$22,246,956","$18,539,130","$17,469,565","$16,400,000","$15,330,435","$14,260,870","$915,243","$875,500","$850,000",,,,,,,,,,,,,,,,,,,,,,
Kyle Kuzma,"$23,856,060","$25,568,182","$13,000,000","$13,000,000","$3,562,178","$1,974,600","$1,689,840","$1,423,560",,,,,,,,,,,,,,,,,,,,,,,,,,,
DeMar DeRozan,"$23,400,000","$28,600,000","$27,300,000","$26,000,000","$27,739,975","$27,739,975","$27,739,975","$27,739,975","$26,540,100","$9,500,000","$9,500,000","$9,500,000","$3,344,250","$2,625,000","$2,453,880","$2,282,640",,,,,,,,,,,,,,,,,,,
Mikal Bridges,"$23,300,000","$21,700,000","$20,100,000","$5,557,725","$4,359,000","$4,161,000","$3,557,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaden McDaniels,"$23,017,242","$3,901,399","$2,161,440","$2,063,280","$1,964,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brook Lopez,"$23,000,000","$25,000,000","$13,906,976","$13,302,325","$12,697,675","$12,093,024","$3,382,000","$22,642,350","$21,165,675","$19,689,000","$15,719,000","$14,694,000","$13,668,000","$3,076,983","$2,413,320","$2,225,880","$2,098,560",,,,,,,,,,,,,,,,,,
Bruce Brown,"$23,000,000","$22,000,000","$6,479,000","$4,736,102","$1,663,861","$1,416,852","$838,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Gordon,"$22,841,455","$21,266,182","$20,690,909","$16,409,091","$18,136,364","$19,863,636","$21,590,909","$5,504,419","$4,351,320","$4,171,680","$3,992,040",,,,,,,,,,,,,,,,,,,,,,,,
Kentavious Caldwell-Pope,"$22,757,000","$14,704,938","$14,004,703","$13,038,862","$12,073,020","$8,139,282","$12,000,000","$17,745,894","$3,678,319","$2,891,760","$2,772,480","$2,653,080",,,,,,,,,,,,,,,,,,,,,,,
Cameron Johnson,"$22,500,000","$25,679,348","$5,887,899","$4,437,000","$4,235,160","$4,033,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Brogdon,"$22,500,000","$22,500,000","$22,600,000","$21,700,000","$20,700,000","$20,000,000","$1,544,951","$1,312,611","$875,000",,,,,,,,,,,,,,,,,,,,,,,,,,
Clint Capela,"$22,265,280","$20,616,000","$18,206,896","$17,603,448","$18,000,000","$16,896,552","$15,793,104","$2,334,528","$1,296,240","$1,242,720","$1,189,200",,,,,,,,,,,,,,,,,,,,,,,,
Dillon Brooks,"$22,255,493","$22,627,671","$11,400,000","$12,200,000","$11,400,000","$1,618,520","$1,378,242","$815,615",,,,,,,,,,,,,,,,,,,,,,,,,,,
De'Andre Hunter,"$21,696,429","$20,089,286","$9,835,881","$7,775,400","$7,422,000","$7,068,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonzo Ball,"$21,395,348","$20,465,117","$19,534,884","$18,604,651","$11,003,782","$8,719,320","$7,461,960","$6,286,560",,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Smart,"$20,210,285","$18,583,713","$17,207,142","$13,839,285","$12,946,428","$12,553,571","$11,160,716","$4,538,019","$3,578,880","$3,431,040","$3,283,320",,,,,,,,,,,,,,,,,,,,,,,,
Derrick White,"$20,071,429","$18,857,143","$17,142,857","$15,678,571","$3,516,284","$1,948,080","$1,667,160","$1,404,600",,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Vucevic,"$20,000,000","$18,518,519","$22,000,000","$24,000,000","$26,000,000","$28,000,000","$12,750,000","$12,250,000","$11,750,000","$11,250,000","$2,902,757","$1,892,280","$1,768,800","$1,645,400",,,,,,,,,,,,,,,,,,,,,
Jarrett Allen,"$20,000,000","$20,000,000","$20,000,000","$20,000,000","$3,909,902","$2,376,840","$2,034,120","$1,713,720",,,,,,,,,,,,,,,,,,,,,,,,,,,
Myles Turner,"$19,928,500","$20,975,000","$35,096,500","$18,000,000","$18,000,000","$18,000,000","$3,294,994","$2,483,040","$2,380,440","$2,277,960",,,,,,,,,,,,,,,,,,,,,,,,,
Jakob Poeltl,"$19,500,000","$19,500,000","$9,398,148","$8,750,000","$8,101,852","$3,754,885","$2,947,320","$2,825,640","$2,703,960",,,,,,,,,,,,,,,,,,,,,,,,,,
Duncan Robinson,"$19,406,000","$18,154,000","$16,902,000","$15,650,000","$1,663,861","$1,416,852","$77,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norman Powell,"$19,241,379","$18,000,000","$16,758,621","$15,517,242","$10,865,952","$10,116,576","$9,367,200","$1,471,382","$874,636","$650,000",,,,,,,,,,,,,,,,,,,,,,,,,
Bojan Bogdanovic,"$19,032,850","$20,000,000","$19,550,000","$18,700,000","$17,850,000","$17,000,000","$10,500,000","$10,500,000","$3,573,020","$3,425,510","$3,278,000",,,,,,,,,,,,,,,,,,,,,,,,
Keldon Johnson,"$19,000,000","$20,000,000","$3,873,024","$2,145,720","$2,048,040","$1,950,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Angelo Russell,"$18,692,307","$17,307,693","$31,377,750","$30,013,500","$28,649,250","$27,285,000","$7,019,698","$5,562,360","$5,332,800","$5,103,120",,,,,,,,,,,,,,,,,,,,,,,,,
Collin Sexton,"$18,350,000","$17,525,000","$16,700,000","$6,349,671","$4,991,880","$4,764,960","$4,073,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Hart,"$18,144,000","$12,960,000","$12,960,000","$12,000,000","$3,491,159","$1,934,160","$1,655,160","$1,394,520",,,,,,,,,,,,,,,,,,,,,,,,,,,
Jusuf Nurkic,"$18,125,000","$16,875,000","$15,625,000","$12,000,000","$12,888,889","$12,000,000","$11,111,111","$2,947,304","$1,921,320","$1,842,000","$1,762,680",,,,,,,,,,,,,,,,,,,,,,,,
Harrison Barnes,"$18,000,000","$17,000,000","$18,352,273","$20,284,091","$22,215,909","$24,147,727","$24,107,258","$23,112,004","$22,116,750","$3,873,398","$3,049,920","$2,923,920","$2,798,040",,,,,,,,,,,,,,,,,,,,,,
Patrick Williams,"$18,000,000","$9,835,881","$7,775,400","$7,422,000","$7,068,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Monk,"$17,405,203","$9,945,830","$9,472,219","$1,789,256","$5,345,687","$4,028,400","$3,447,480","$2,904,480",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogdan Bogdanovic,"$17,260,000","$18,700,000","$18,000,000","$18,000,000","$18,000,000","$8,529,386","$9,000,000","$9,470,614",,,,,,,,,,,,,,,,,,,,,,,,,,,
Rui Hachimura,"$17,000,000","$15,740,741","$6,263,188","$4,916,160","$4,692,840","$4,469,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Huerter,"$16,830,357","$15,669,643","$14,508,929","$4,253,357","$2,761,920","$2,636,280","$2,250,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Collins,"$16,741,200","$7,700,000","$7,350,000","$7,000,000","$5,406,255","$4,240,200","$3,628,920","$3,057,240",,,,,,,,,,,,,,,,,,,,,,,,,,,
Caris LeVert,"$16,615,384","$15,384,616","$18,796,296","$17,500,000","$16,203,704","$2,625,717","$1,702,800","$1,632,480","$1,562,280",,,,,,,,,,,,,,,,,,,,,,,,,,
Luguentz Dort,"$16,500,000","$15,277,778","$15,277,778","$1,782,621","$1,517,981","$155,647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Hardaway Jr,"$16,193,183","$17,897,728","$19,602,273","$21,306,816","$18,975,000","$20,025,127","$17,325,000","$16,500,000","$2,281,605","$1,304,520","$1,250,640","$1,196,760",,,,,,,,,,,,,,,,,,,,,,,
Klay Thompson,"$15,873,016","$43,219,440","$40,600,080","$37,980,720","$35,361,360","$32,742,000","$18,988,725","$17,826,150","$16,663,575","$15,501,000","$3,075,880","$3,245,151","$2,222,160","$2,126,520",,,,,,,,,,,,,,,,,,,,,
Grayson Allen,"$15,625,000","$8,925,000","$8,925,000","$4,054,695","$2,545,320","$2,429,400","$2,076,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deni Avdija,"$15,625,000","$6,263,188","$4,916,160","$4,692,840","$4,469,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJ Washington,"$15,500,000","$16,847,826","$5,808,435","$4,215,120","$4,023,600","$3,831,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Strus,"$15,212,068","$14,487,684","$1,815,677","$1,669,178","$647,098","$79,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Stewart,"$15,000,000","$5,266,713","$3,433,320","$3,277,080","$3,121,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorian Finney-Smith,"$14,924,167","$13,932,008","$12,939,848","$4,000,000","$4,000,000","$4,000,000","$1,544,951","$1,312,611","$543,471",,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Robinson,"$14,318,182","$15,681,818","$17,045,454","$1,802,057","$1,663,861","$1,559,712","$1,485,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Clarkson,"$14,092,577","$23,487,629","$13,340,000","$12,420,000","$11,500,000","$13,437,500","$12,500,000","$11,562,500","$12,500,000","$845,059","$507,336",,,,,,,,,,,,,,,,,,,,,,,,
Onyeka Okongwu,"$14,000,000","$8,109,063","$6,395,160","$6,104,280","$5,813,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naz Reid,"$13,986,432","$12,950,400","$1,930,681","$1,782,621","$1,517,981","$898,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cade Cunningham,"$13,940,809","$11,055,360","$10,552,800","$10,050,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Gafford,"$13,394,160","$12,402,000","$1,930,681","$1,782,621","$1,517,981","$898,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Williams,"$13,025,250","$12,405,000","$4,306,281","$2,617,800","$2,498,760","$2,379,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Schroeder,"$13,025,250","$12,405,000","$2,641,682","$5,890,000","$15,500,000","$15,500,000","$15,500,000","$15,500,000","$2,708,582","$1,763,400","$1,690,680","$1,617,840",,,,,,,,,,,,,,,,,,,,,,,
Isaiah Joe,"$12,991,650","$1,997,238","$1,836,090","$1,517,981","$898,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Reaves,"$12,976,362","$12,015,150","$1,563,518","$925,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herb Jones,"$12,976,362","$12,015,150","$1,785,000","$1,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obi Toppin,"$12,975,000","$6,803,012","$5,348,280","$5,105,160","$4,862,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Anthony,"$12,900,000","$5,539,771","$3,613,680","$3,449,400","$3,285,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De'Anthony Melton,"$12,822,000","$8,000,000","$8,250,000","$8,805,976","$9,571,712","$1,416,852","$949,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelly Olynyk,"$12,804,878","$12,195,122","$12,804,878","$12,195,122","$12,819,650","$12,667,885","$13,537,527","$12,007,169","$3,094,013","$2,165,160","$2,075,760","$1,986,360",,,,,,,,,,,,,,,,,,,,,,,
Victor Wembanyama,"$12,768,664","$12,160,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Green,"$12,654,321","$4,765,339","$3,098,400","$2,957,520","$2,816,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richaun Holmes,"$12,648,321","$12,046,020","$11,215,260","$10,384,500","$5,005,350","$4,767,000","$1,600,520","$1,471,382","$1,024,000","$1,075,000",,,,,,,,,,,,,,,,,,,,,,,,,
Steven Adams,"$12,600,000","$12,600,000","$17,926,829","$17,073,171","$29,592,695","$25,842,697","$24,157,304","$22,471,911","$3,140,517","$2,279,040","$2,184,960","$2,090,880",,,,,,,,,,,,,,,,,,,,,,,
Bobby Portis,"$12,578,286","$11,710,818","$10,843,350","$4,347,600","$3,623,000","$15,000,000","$2,494,346","$1,516,320","$1,404,600","$1,344,120",,,,,,,,,,,,,,,,,,,,,,,,,
Zaccharie Risacher,"$12,569,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Clarke,"$12,500,000","$12,500,000","$4,343,919","$2,726,880","$2,602,920","$2,478,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Bagley,"$12,500,000","$12,500,000","$12,500,000","$11,312,114","$8,963,640","$8,556,120","$7,314,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Green,"$12,483,048","$9,891,480","$9,441,840","$8,992,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Williams,"$12,428,571","$11,571,429","$10,714,287","$3,661,976","$2,029,920","$1,937,520","$1,656,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJ Tucker,"$12,165,577","$11,014,500","$10,490,000","$7,000,000","$7,969,537","$8,349,039","$7,959,537","$7,590,035","$5,300,000","$5,500,000","$5,700,000","$884,293","$762,195",,,,,,"$412,718",,,,,,,,,,,,,,,,
Paolo Banchero,"$12,160,800","$11,608,080","$11,055,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coby White,"$12,000,000","$11,111,111","$7,413,955","$5,837,760","$5,572,680","$5,307,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendell Carter,"$11,950,000","$13,050,000","$14,150,000","$6,920,027","$5,448,840","$5,201,400","$4,446,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,
